XM,SXZY
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,3
9,3
10,4
11,4
12,5
13,5
14,6
15,6
16,6
17,7
18,7
19,8
20,8
21,8
22,8
23,9
24,9
25,9
26,9
27,9
28,10
29,10
30,10
31,10
32,11
33,12
34,12
35,13
36,13
37,13
38,14
39,14
40,14
41,14
42,14
43,15
44,15
45,15
46,15
47,15
48,15
49,15
50,16
51,16
52,16
53,16
54,17
55,17
56,18
57,18
58,18
59,19
60,19
61,19
62,19
63,19
64,20
65,20
66,20
67,21
68,21
69,21
70,22
71,22
72,22
73,22
74,23
75,23
76,24
77,24
78,24
79,24
80,24
81,25
82,25
83,25
84,26
85,26
86,26
87,26
88,27
89,27
90,27
91,27
92,28
93,28
94,28
95,28
96,29
97,29
98,29
99,30
100,30
101,31
102,31
103,32
104,32
105,32
106,32
107,32
108,32
109,32
110,33
111,33
112,33
113,33
114,34
115,34
116,34
117,34
118,35
119,35
120,35
121,35
122,35
123,35
124,35
125,35
126,36
127,36
128,37
129,37
130,37
131,38
132,38
133,38
134,39
135,39
136,39
137,39
138,39
139,39
140,39
141,39
142,39
143,39
144,39
145,39
146,39
147,39
148,39
149,39
150,39
151,39
152,39
153,39
154,39
155,39
156,39
157,39
158,39
159,40
160,40
161,40
162,41
163,41
164,41
165,41
166,41
167,42
168,42
169,42
170,43
171,43
172,43
173,43
174,43
175,44
176,44
177,44
178,44
179,44
180,44
181,45
182,45
183,46
184,46
185,46
186,46
187,46
188,47
189,47
190,47
191,48
192,48
193,48
194,48
195,49
196,49
197,49
198,49
199,49
200,50
201,50
202,50
203,50
204,51
205,52
206,52
207,53
208,53
209,53
210,54
211,54
212,54
213,55
214,55
215,55
216,55
217,56
218,56
219,56
220,56
221,56
222,57
223,58
224,58
225,58
226,59
227,59
228,59
229,60
230,60
231,60
232,60
233,60
234,60
235,61
236,61
237,61
238,62
239,62
240,62
241,62
242,63
243,63
244,63
245,63
246,63
247,64
248,64
249,64
250,65
251,65
252,65
253,65
254,66
255,66
256,66
257,66
258,67
259,67
260,68
261,69
262,69
263,70
264,70
265,70
266,71
267,71
268,71
269,71
270,72
271,72
272,72
273,73
274,73
275,74
276,74
277,74
278,75
279,75
280,75
281,75
282,75
283,76
284,76
285,77
286,77
287,78
288,78
289,79
290,79
291,79
292,79
293,80
294,80
295,80
296,80
297,81
298,81
299,82
300,82
301,82
302,83
303,83
304,83
305,83
306,83
307,84
308,84
309,84
310,84
311,84
312,84
313,85
314,86
315,86
316,87
317,87
318,87
319,88
320,88
321,88
322,88
323,88
324,88
325,88
326,89
327,89
328,89
329,89
330,89
331,89
332,90
333,90
334,91
335,91
336,91
337,91
338,92
339,92
340,92
341,93
342,93
343,93
344,94
345,94
346,94
347,95
348,95
349,95
350,96
351,96
352,96
353,97
354,97
355,97
356,98
357,98
358,98
359,98
360,98
361,98
362,98
363,98
364,98
365,98
366,98
367,98
368,98
369,98
370,98
371,99
372,99
373,99
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,100
383,100
384,100
385,100
386,100
387,100
388,100
389,100
390,100
391,100
392,100
393,100
394,100
395,100
396,100
397,100
398,100
399,100
400,101
401,101
402,101
403,101
404,102
405,102
406,103
407,103
408,103
409,103
410,103
411,104
412,104
413,105
414,105
415,105
416,105
417,105
418,105
419,105
420,105
421,105
422,105
423,105
424,105
425,105
426,105
427,105
428,105
429,105
430,105
431,105
432,105
433,105
434,105
435,105
436,105
437,105
438,105
439,105
440,105
441,105
442,105
443,105
444,105
445,106
446,106
447,106
448,106
449,106
450,106
451,106
452,106
453,107
454,107
455,108
456,108
457,108
458,108
459,108
460,108
461,108
462,108
463,108
464,108
465,108
466,108
467,108
468,108
469,109
470,109
471,110
472,111
473,111
474,111
475,111
476,111
477,112
478,112
479,112
480,113
481,113
482,113
483,113
484,114
485,114
486,114
487,115
488,116
489,116
490,116
491,117
492,117
493,117
494,117
495,117
496,118
497,118
498,118
499,118
500,118
501,118
502,118
503,118
504,118
505,118
506,119
507,119
508,119
509,119
510,119
511,120
512,120
513,120
514,120
515,121
516,121
517,122
518,122
519,123
520,123
521,123
522,123
523,124
524,124
525,124
526,124
527,125
528,125
529,125
530,126
531,126
532,126
533,126
534,127
535,127
536,127
537,127
538,127
539,127
540,127
541,127
542,127
543,127
544,127
545,127
546,127
547,127
548,127
549,127
550,127
551,127
552,127
553,127
554,128
555,128
556,128
557,128
558,128
559,128
560,129
561,129
562,129
563,129
564,129
565,129
566,129
567,130
568,131
569,131
570,132
571,132
572,132
573,132
574,132
575,132
576,132
577,132
578,132
579,132
580,132
581,132
582,132
583,132
584,132
585,132
586,132
587,132
588,132
589,132
590,132
591,132
592,132
593,132
594,133
595,133
596,133
597,134
598,135
599,135
600,135
601,135
