XM,HDHD
1,178
2,1108
3,1374
4,129
5,1720
6,1983
7,2606
8,1049
9,1656
10,48
11,119
12,1764
13,2582
14,59
15,768
16,2369
17,396
18,1343
19,356
20,625
21,1085
22,1272
23,780
24,1001
25,1297
26,1650
27,1707
28,220
29,371
30,2070
31,2421
32,2507
33,20
34,1650
35,413
36,838
37,1939
38,680
39,711
40,802
41,1718
42,2213
43,1349
44,1388
45,1416
46,1826
47,1924
48,2072
49,2196
50,1397
51,1919
52,2269
53,2280
54,125
55,1367
56,310
57,1801
58,2244
59,1147
60,1863
61,2278
62,2509
63,2582
64,32
65,1039
66,1293
67,897
68,989
69,1219
70,283
71,1147
72,1530
73,2265
74,357
75,1067
76,111
77,1224
78,1234
79,1311
80,2358
81,1129
82,2100
83,2110
84,977
85,1099
86,1237
87,2328
88,1077
89,1729
90,2205
91,2436
92,243
93,2028
94,2415
95,2473
96,15
97,2290
98,2523
99,1452
100,2220
101,632
102,2398
103,1276
104,1374
105,1601
106,1713
107,1740
108,2277
109,2397
110,794
111,814
112,1331
113,2577
114,814
115,1782
116,2398
117,2462
118,2
119,924
120,958
121,1825
122,2080
123,2296
124,2546
125,2598
126,1848
127,2378
128,800
129,1022
130,2399
131,794
132,2167
133,2398
134,121
135,312
136,313
137,357
138,537
139,689
140,1302
141,1453
142,1602
143,1694
144,1754
145,1923
146,1926
147,2054
148,2221
149,2221
150,2302
151,2398
152,2398
153,2398
154,2398
155,2398
156,2398
157,2399
158,2399
159,313
160,958
161,2109
162,435
163,783
164,1385
165,1836
166,2097
167,615
168,756
169,1131
170,371
171,1499
172,1575
173,1819
174,1887
175,307
176,528
177,2177
178,2249
179,2368
180,2374
181,813
182,1535
183,1183
184,1846
185,2062
186,2227
187,2305
188,552
189,716
190,1303
191,1494
192,1628
193,1748
194,1833
195,375
196,940
197,1015
198,1604
199,2506
200,904
201,1109
202,1109
203,1492
204,1240
205,533
206,2197
207,522
208,1507
209,2433
210,1385
211,2178
212,2237
213,116
214,612
215,1588
216,1950
217,618
218,886
219,1641
220,1816
221,2032
222,751
223,440
224,1960
225,2587
226,259
227,1842
228,1951
229,151
230,1483
231,1576
232,1800
233,1801
234,1843
235,567
236,1070
237,1942
238,1109
239,1201
240,2507
241,2521
242,615
243,1694
244,1764
245,2100
246,2306
247,754
248,933
249,1129
250,613
251,616
252,1857
253,1944
254,686
255,769
256,1382
257,2028
258,476
259,2046
260,12
261,40
262,2419
263,827
264,1383
265,1948
266,630
267,1098
268,1432
269,2605
270,2221
271,2299
272,2560
273,340
274,440
275,377
276,1130
277,1325
278,177
279,645
280,711
281,1063
282,2250
283,1284
284,1807
285,808
286,1879
287,543
288,898
289,72
290,873
291,1389
292,2118
293,308
294,1087
295,1508
296,1631
297,989
298,1852
299,62
300,571
301,1545
302,181
303,299
304,428
305,964
306,1730
307,174
308,1323
309,1544
310,2264
311,2493
312,2598
313,2253
314,663
315,1207
316,1484
317,2320
318,2370
319,67
320,157
321,1842
322,1907
323,1994
324,2168
325,2170
326,740
327,898
328,898
329,1556
330,1736
331,1847
332,663
333,898
334,527
335,1223
336,1759
337,1960
338,295
339,2098
340,2398
341,977
342,1116
343,1468
344,111
345,524
346,898
347,889
348,1049
349,1064
350,1080
351,1349
352,2535
353,528
354,2237
355,2548
356,68
357,286
358,313
359,511
360,525
361,898
362,898
363,987
364,993
365,1153
366,1364
367,2221
368,2221
369,2221
370,2562
371,484
372,1304
373,1522
374,84
375,173
376,525
377,713
378,716
379,792
380,898
381,898
382,898
383,898
384,1084
385,1088
386,1109
387,1239
388,1358
389,1541
390,1837
391,1875
392,1876
393,1876
394,2081
395,2197
396,2221
397,2416
398,2446
399,2499
400,846
401,1340
402,1568
403,2600
404,296
405,1570
406,370
407,575
408,1772
409,1945
410,2525
411,688
412,1040
413,203
414,241
415,287
416,322
417,333
418,380
419,477
420,525
421,652
422,672
423,754
424,793
425,820
426,884
427,898
428,908
429,1040
430,1085
431,1109
432,1109
433,1362
434,1505
435,1568
436,1849
437,1961
438,1965
439,2012
440,2197
441,2197
442,2197
443,2197
444,2316
445,528
446,793
447,1240
448,1285
449,1314
450,1684
451,1685
452,2497
453,2046
454,2315
455,93
456,825
457,898
458,933
459,1085
460,1240
461,1564
462,1751
463,1775
464,1894
465,1987
466,2033
467,2540
468,2563
469,898
470,2142
471,2221
472,821
473,1059
474,1210
475,1781
476,2057
477,1318
478,1921
479,1966
480,352
481,386
482,795
483,1625
484,652
485,1104
486,1922
487,1054
488,400
489,916
490,1184
491,375
492,412
493,434
494,1815
495,2311
496,218
497,357
498,499
499,767
500,790
501,1160
502,1484
503,1928
504,2389
505,2512
506,567
507,1184
508,1743
509,1904
510,2221
511,33
512,54
513,389
514,482
515,538
516,1252
517,52
518,1961
519,443
520,974
521,1843
522,2279
523,1124
524,1576
525,1749
526,2287
527,173
528,342
529,1352
530,478
531,616
532,995
533,2191
534,183
535,318
536,357
537,357
538,357
539,357
540,357
541,372
542,538
543,538
544,769
545,1062
546,1071
547,1071
548,1170
549,1576
550,1576
551,2068
552,2155
553,2217
554,217
555,361
556,561
557,785
558,1880
559,2583
560,32
561,735
562,1419
563,1484
564,1961
565,2303
566,2375
567,1063
568,201
569,864
570,95
571,168
572,354
573,357
574,429
575,538
576,548
577,691
578,944
579,985
580,1055
581,1109
582,1346
583,1452
584,1462
585,1596
586,1601
587,1837
588,2069
589,2221
590,2221
591,2342
592,2474
593,2486
594,59
595,773
596,1262
597,2250
598,51
599,59
600,285
601,313
602,313
603,357
604,357
605,357
606,357
607,362
608,470
609,538
610,538
611,538
612,538
613,566
614,567
615,692
616,692
617,692
618,692
619,861
620,1109
621,1272
622,1463
623,1463
624,1463
625,1463
626,1463
627,1576
628,1576
629,1576
630,1576
631,1576
632,1692
633,1843
634,1843
635,1898
636,1989
637,2069
638,2112
639,2178
640,2267
641,2393
642,2491
643,825
644,1071
645,1221
646,1576
647,1951
648,120
649,376
650,378
651,2077
652,32
653,350
654,662
655,1271
656,2070
657,692
658,1411
659,1787
660,2179
661,2506
662,84
663,488
664,516
665,572
666,1256
667,1463
668,1504
669,1518
670,1717
671,1738
672,1741
673,1843
674,1896
675,1922
676,1929
677,2049
678,2069
679,2221
680,2221
681,2221
682,2299
683,2306
684,2354
685,2390
686,2398
687,408
688,1837
689,914
690,1363
691,1547
692,2409
693,2492
694,159
695,362
696,208
697,692
698,1978
699,346
700,357
701,609
702,944
703,2219
704,2318
705,232
706,313
707,357
708,357
709,405
710,452
711,472
712,485
713,535
714,669
