XM,CSD
1,3093
2,21
3,363
4,2393
5,240
6,431
7,1385
8,2935
9,2789
10,838
11,1774
12,275
13,3307
14,122
15,2605
16,1670
17,1524
18,3240
19,547
20,2405
21,1735
22,1000
23,710
24,142
25,1536
26,1649
27,712
28,478
29,3680
30,1743
31,1080
32,1473
33,2295
34,3029
35,158
36,3127
37,919
38,830
39,1087
40,195
41,907
42,1878
43,165
44,2632
45,954
46,11
47,1255
48,1483
49,1300
50,3164
51,710
52,3291
53,517
54,392
55,2173
56,1958
57,1273
58,3184
59,3378
60,32
61,896
62,175
63,2539
64,950
65,2533
66,3250
67,1058
68,2462
69,3636
70,1634
71,2287
72,591
73,21
74,1171
75,1857
76,2277
77,1932
78,322
79,1032
80,1316
81,1139
82,2313
83,1351
84,1652
85,73
86,2304
87,659
88,2539
89,2729
90,376
91,619
92,31
93,1634
94,531
95,1454
96,3657
97,3587
98,152
99,1524
100,2255
101,652
102,1521
103,2316
104,49
105,2783
106,138
107,1061
108,238
109,3035
110,1480
111,885
112,3672
113,2553
114,1639
115,1151
116,124
117,2456
118,2864
119,1397
120,1202
121,1895
122,1027
123,1444
124,1247
125,3403
126,1268
127,1975
128,1173
129,3070
130,1129
131,130
132,649
133,2974
134,1816
135,2451
136,3040
137,171
138,2678
139,124
140,1859
141,1629
142,2721
143,2485
144,3469
145,1804
146,1688
147,544
148,648
149,705
150,62
151,1498
152,1603
153,1632
154,2155
155,3159
156,3691
157,2844
158,3156
159,1865
160,491
161,2384
162,2641
163,532
164,887
165,3348
166,55
167,284
168,2737
169,2639
170,622
171,217
172,2283
173,1100
174,1936
175,718
176,2889
177,1173
178,2672
179,2177
180,1818
181,3251
182,3064
183,2062
184,185
185,2726
186,3043
187,3681
188,3135
189,620
190,3143
191,1718
192,2013
193,1702
194,654
195,3547
196,1988
197,3715
198,2806
199,2991
200,3605
201,2027
202,2596
203,2671
204,2074
205,2608
206,1493
207,591
208,1377
209,1628
210,2446
211,3565
212,770
213,3306
214,2466
215,3023
216,406
217,272
218,838
219,3475
220,980
221,1461
222,3378
223,1385
224,3129
225,2054
226,2302
227,39
228,2892
229,3144
230,1771
231,912
232,3694
233,3691
234,3378
235,1306
236,1025
237,2377
238,2005
239,178
240,3204
241,2159
242,154
243,171
244,2543
245,148
246,790
247,3583
248,2644
249,1581
250,541
251,242
252,165
253,1803
254,239
255,1428
256,2708
257,2867
258,3194
259,3283
260,3198
261,3641
262,1895
263,787
264,359
265,799
266,2828
267,3362
268,2246
269,3581
270,3081
271,2600
272,967
273,3156
274,695
275,1130
276,3230
277,98
278,3577
279,2505
280,1079
281,1032
282,2672
283,3002
284,2419
285,706
286,756
287,1613
288,638
289,2173
290,595
291,3419
292,3677
293,2253
294,1485
295,1440
296,2069
297,1787
298,3311
299,3535
300,996
301,2644
302,1638
303,3353
304,2543
305,2928
306,2654
307,2357
308,3213
309,2642
310,2007
311,1640
312,2062
313,1428
314,3703
315,3735
316,2104
317,1675
318,411
319,1725
320,3594
321,1611
322,444
323,2075
324,1764
325,812
326,507
327,162
328,1058
329,66
330,1923
331,758
332,1016
333,2535
334,3282
335,3523
336,3041
337,621
338,2862
339,1200
340,1639
341,1969
342,555
343,1400
344,1082
345,3375
346,1160
347,1692
348,3445
349,2326
350,957
351,171
352,858
353,1244
354,1548
355,2765
356,1483
357,1923
358,344
359,2652
360,2437
361,660
362,3159
363,3636
364,1826
365,39
366,2619
367,1497
368,1784
369,3339
370,39
371,415
372,2172
373,2463
374,3176
375,2188
376,3225
377,1945
378,3094
379,3358
380,163
381,930
382,2291
383,1974
384,2645
385,3143
386,1965
387,596
388,17
389,2412
390,3372
391,596
392,3378
393,3525
394,3669
395,1234
396,910
397,367
398,1232
399,1125
400,1345
401,3488
402,1021
403,3324
404,3698
405,1285
406,1359
407,1461
408,3106
409,4
410,2392
411,1732
412,2535
413,1763
414,2425
415,2434
416,1135
417,2102
418,2380
419,186
420,1851
421,39
422,3556
423,94
424,728
425,856
426,1076
427,1603
428,1107
429,3354
430,3672
431,1987
432,2015
433,1789
434,1000
435,1575
436,672
437,3147
438,2999
439,2284
440,1431
441,1483
442,1676
443,3733
444,2824
445,1578
446,3373
447,3190
448,2349
449,3528
450,463
451,1920
452,3162
453,3626
454,756
455,2604
456,1139
457,3525
458,3029
459,1373
460,2550
461,3141
462,2705
463,950
464,25
465,48
466,2651
467,330
468,52
469,596
470,1945
471,3589
472,2332
473,24
474,1516
475,1220
476,909
477,46
478,978
479,616
480,589
481,714
482,1023
483,2029
484,751
485,141
486,1201
487,3016
488,1150
489,3024
490,2911
491,3324
492,1889
493,326
494,3636
495,2730
496,913
497,1951
498,1672
499,2682
500,189
501,3248
502,2424
503,2931
504,3485
505,1035
506,1572
507,734
508,3153
509,842
510,3672
511,1301
512,3494
513,2110
514,2402
515,1058
516,3517
517,865
518,558
519,3695
520,1285
521,2481
522,82
523,3185
524,1940
525,925
526,271
527,3303
528,2174
529,3590
530,393
531,1234
532,3489
533,3453
534,3537
535,1327
536,885
537,1433
538,3372
539,3469
540,3469
541,1020
542,206
543,1923
544,1032
545,2247
546,516
547,3303
548,2536
549,2785
550,2841
551,1560
552,1562
553,3729
554,1988
555,1236
556,849
557,919
558,107
559,1388
560,758
561,158
562,2285
563,1428
564,3076
565,2940
566,3676
567,2351
568,92
569,1629
570,142
571,186
572,632
573,175
574,2906
575,355
576,2992
577,1958
578,335
579,2331
580,3207
581,1923
582,233
583,2609
584,2437
585,2573
586,700
587,2298
588,435
589,171
590,2062
591,1896
592,2584
593,1772
594,867
595,3326
596,258
597,758
598,721
599,672
600,2897
601,1273
602,2298
603,171
604,698
605,3358
606,2865
607,1524
608,861
609,1598
610,2298
611,2366
612,3537
613,2099
614,2107
615,540
616,2187
617,2975
618,3041
619,987
620,2001
621,3269
622,179
623,652
624,969
625,1234
626,1602
627,2051
628,2799
629,2861
630,2922
631,2930
632,3008
633,2645
634,716
635,137
636,3101
637,2970
638,2027
639,3565
640,3676
641,569
642,1954
643,1834
644,2458
645,2367
646,2592
647,1417
648,3020
649,276
650,2958
651,1689
652,1527
653,230
654,113
655,2107
656,3673
657,2911
658,2111
659,3282
660,1416
661,1015
662,1493
663,2587
664,2111
665,905
666,2437
667,1184
668,2507
669,2318
670,3143
671,2793
672,1581
673,633
674,2003
675,1629
676,1902
677,3263
678,1629
679,312
680,2177
681,3582
682,943
683,2355
684,1234
685,1855
686,2046
687,3312
688,532
689,1997
690,3633
691,1498
692,3582
693,3022
694,3685
695,1355
696,2492
697,1591
698,1583
699,2332
700,1410
701,2235
702,1163
703,279
704,387
705,601
706,639
707,140
708,2515
709,3311
710,1484
711,2298
712,569
713,1902
714,1197
715,3372
716,930
717,1887
718,1917
719,1629
720,1672
721,57
722,2533
723,1524
724,2747
725,2027
726,3143
727,1669
728,1291
729,569
730,1384
731,3043
732,3132
733,3458
734,3122
735,1471
736,2931
737,2977
738,943
739,2664
740,3143
741,3650
742,1324
743,2169
744,2630
745,2803
746,3251
747,65
748,783
749,3425
750,2646
751,1771
752,165
753,2383
754,943
755,3427
756,2130
757,3705
758,861
759,3179
760,608
761,1360
762,3070
763,3428
764,988
765,3011
766,539
767,2272
768,275
769,3223
770,3147
771,1478
772,3109
773,1200
774,1024
775,3393
776,2260
777,2437
778,2573
779,1033
780,403
781,1234
782,1554
783,1752
784,39
785,39
786,1381
787,2059
788,2534
789,1211
790,1884
791,1962
792,2895
793,1957
794,3569
795,340
796,2038
797,3392
798,2278
799,2211
800,1319
801,3200
802,939
803,3251
804,3423
805,2689
806,913
807,699
808,287
809,716
810,1052
811,2340
812,3234
813,171
814,2772
815,3156
816,2334
817,801
818,1138
819,2318
820,3372
821,3380
822,2754
823,661
824,2298
825,3153
826,969
827,2442
828,2728
829,2668
830,3249
831,2573
832,3372
833,3687
834,1789
835,230
836,45
837,1930
838,1808
839,1816
840,3443
841,1234
842,1940
843,368
844,1656
845,2202
846,2177
847,1771
848,1771
849,1234
850,3023
851,3565
852,1058
853,1850
854,2230
855,2803
856,3358
857,817
858,1011
859,2321
860,2721
861,3043
862,39
863,560
864,1983
865,2304
866,3154
867,2595
868,2649
869,1349
870,1579
871,1063
872,1627
873,1629
874,1954
875,3143
876,1636
877,712
878,3648
879,189
880,803
881,2991
882,1891
883,230
884,494
885,758
886,998
887,2046
888,1917
889,2002
890,3372
891,2083
892,2678
893,2448
894,562
895,1171
896,1669
897,2798
898,1348
899,2616
900,2619
901,2629
902,2647
903,2675
904,2709
905,2736
906,2803
907,2894
908,2898
909,2927
910,3627
911,2573
912,259
913,2012
914,1508
915,240
916,1370
917,569
918,776
919,2675
920,3378
921,2989
922,1182
923,1350
924,2207
925,2647
926,939
927,2437
928,2533
929,3525
930,1309
931,15
932,1571
933,1288
934,70
935,171
936,1785
937,2161
938,3143
939,3672
940,938
941,1816
942,1687
943,1043
944,2430
945,1891
946,2708
947,2518
948,1098
949,1333
950,1344
951,1612
952,2641
953,3169
954,3143
955,2073
956,685
957,3477
958,248
959,2694
960,2791
961,2533
962,21
963,2437
964,1220
965,2603
966,2983
967,335
968,111
969,703
970,1432
971,1085
972,1608
973,2340
974,3362
975,391
976,2072
977,326
978,3114
979,2977
980,341
981,3159
982,1058
983,3523
984,159
985,131
986,1705
987,930
988,3159
989,3686
990,250
991,1578
992,1318
993,2249
994,1719
995,1528
996,3525
997,269
998,1841
999,976
1000,3078
1001,2972
1002,2890
1003,920
1004,2736
1005,1949
1006,728
1007,2444
1008,1853
1009,2313
1010,71
1011,1265
1012,1032
1013,3620
1014,1112
1015,912
1016,3628
1017,801
1018,672
1019,1556
1020,2033
1021,1079
1022,1657
1023,3159
1024,2807
1025,2783
1026,1194
1027,560
1028,1198
1029,3156
1030,1395
1031,714
1032,2336
1033,230
1034,2947
1035,1744
1036,3384
1037,1717
1038,1103
1039,269
1040,2461
1041,2573
1042,3220
1043,833
1044,1236
1045,2772
1046,62
1047,2483
1048,1384
1049,2445
1050,79
1051,1155
1052,2885
1053,3501
1054,922
1055,129
1056,1163
1057,2437
1058,2439
1059,1873
1060,2945
1061,1272
1062,1288
1063,857
1064,1166
1065,187
1066,1311
1067,2168
1068,224
1069,124
1070,147
1071,1314
1072,3325
1073,2177
1074,1067
1075,1623
1076,3499
1077,3114
1078,3176
1079,2423
1080,2623
1081,3356
1082,2692
1083,2761
1084,2773
1085,2803
1086,2891
1087,914
1088,1139
1089,2768
1090,1772
1091,2595
1092,1431
1093,560
1094,560
1095,1670
1096,105
1097,2315
1098,3247
1099,1058
1100,3188
1101,2851
1102,2325
1103,317
1104,3469
1105,2645
1106,1297
1107,2713
1108,3156
1109,284
1110,784
1111,807
1112,1107
1113,2543
1114,2575
1115,2873
1116,2949
1117,3028
1118,3611
1119,3729
1120,1234
1121,1058
1122,1081
1123,1160
1124,1234
1125,2226
1126,1171
1127,171
1128,2295
1129,90
1130,1744
1131,3559
1132,525
1133,1412
1134,3678
1135,1633
1136,1186
1137,1616
1138,3689
1139,2324
1140,1413
1141,2705
1142,1962
1143,3025
1144,2661
1145,1769
1146,3081
1147,2324
1148,3137
1149,3539
1150,2869
1151,3543
1152,1679
1153,812
1154,658
1155,2150
1156,2962
1157,2676
1158,968
1159,53
1160,964
1161,679
1162,647
1163,250
1164,3358
1165,1872
1166,885
1167,2906
1168,171
1169,3327
1170,2693
1171,473
1172,2984
1173,2572
1174,1994
1175,1058
1176,1969
1177,3456
1178,3285
1179,3025
1180,1967
1181,3547
1182,2322
1183,2766
1184,1011
1185,772
1186,2783
1187,834
1188,1851
1189,1772
1190,3723
1191,2614
1192,770
1193,508
1194,137
1195,2568
1196,1390
1197,3593
1198,1551
1199,3672
1200,2789
1201,3600
1202,2328
1203,3007
1204,3653
1205,3408
1206,3327
1207,2025
1208,566
1209,919
1210,1516
1211,3217
1212,2437
1213,2447
1214,2437
1215,589
1216,2475
1217,3024
1218,2820
1219,2445
1220,3221
1221,3273
1222,863
1223,2436
1224,3036
1225,364
1226,2841
1227,28
1228,2432
1229,3176
1230,3647
1231,2266
1232,816
1233,2736
1234,1254
1235,3347
1236,2467
1237,3386
1238,1717
1239,3665
1240,3223
1241,1025
1242,2405
1243,1033
1244,2002
1245,676
1246,1786
1247,28
1248,1351
1249,3454
1250,186
1251,434
1252,1340
1253,1876
1254,1816
1255,248
1256,2010
1257,3231
1258,2272
1259,1914
1260,1343
1261,1767
1262,452
1263,929
1264,1481
1265,255
1266,2711
1267,144
1268,301
1269,2707
1270,2252
1271,314
1272,338
1273,2551
1274,1178
1275,1442
1276,405
1277,271
1278,1273
1279,228
1280,3672
1281,872
1282,883
1283,2445
1284,39
1285,291
1286,217
1287,1660
1288,2385
1289,3173
1290,3297
1291,1664
1292,171
1293,1876
1294,3387
1295,321
1296,2143
1297,612
1298,3282
1299,1709
1300,661
1301,2714
1302,2349
1303,2039
1304,1771
1305,517
1306,3286
1307,374
1308,705
1309,2533
1310,3372
1311,3378
1312,646
1313,2023
1314,2340
1315,3734
1316,1774
1317,1491
1318,3369
1319,1035
1320,3052
1321,718
1322,1601
1323,3696
1324,104
1325,3614
1326,1612
1327,1948
1328,683
1329,229
1330,1822
1331,1780
1332,276
1333,902
1334,2215
1335,2430
1336,257
1337,648
1338,778
1339,657
1340,660
1341,2777
1342,13
1343,1799
1344,2555
1345,64
1346,2573
1347,3560
1348,945
1349,780
1350,2675
1351,504
1352,2437
1353,36
1354,62
1355,1589
1356,2892
1357,3525
1358,1672
1359,2573
1360,2119
1361,1413
1362,171
1363,2975
1364,781
1365,769
1366,1623
1367,201
1368,171
1369,1429
1370,3146
1371,2190
1372,3272
1373,559
1374,73
1375,2536
1376,1095
1377,487
1378,2703
1379,2414
1380,2549
1381,1130
1382,1010
1383,807
1384,3656
1385,1238
1386,1260
1387,865
1388,3079
1389,3700
1390,313
1391,3159
1392,616
1393,1281
1394,122
1395,3128
1396,2464
1397,775
1398,3317
1399,3156
1400,820
1401,1157
1402,1163
1403,1222
1404,3093
1405,1157
1406,72
1407,596
1408,2369
1409,3372
1410,2134
1411,1789
1412,2027
1413,2036
1414,2046
1415,2885
1416,1182
1417,1938
1418,1965
1419,2747
1420,33
1421,2151
1422,2988
1423,3517
1424,2685
1425,1313
1426,171
1427,2027
1428,3153
1429,2173
1430,56
1431,1247
1432,2924
1433,358
1434,1040
1435,2656
1436,931
1437,186
1438,1731
1439,1126
1440,3009
1441,1285
1442,169
1443,1008
1444,2802
1445,867
1446,1536
1447,495
1448,2394
1449,579
1450,2261
1451,2196
1452,2324
1453,2035
1454,265
1455,3243
1456,2545
1457,3400
1458,349
1459,3056
1460,466
1461,3543
1462,942
1463,1930
1464,1206
1465,3052
1466,1987
1467,1985
1468,1861
1469,1
1470,3142
1471,1160
1472,1760
1473,2736
1474,1090
1475,2873
1476,1035
1477,1871
1478,3543
1479,271
1480,3109
1481,3236
1482,2800
1483,3691
1484,2279
1485,1221
1486,3438
1487,3277
1488,175
1489,1960
1490,1498
1491,3020
1492,499
1493,1464
1494,46
1495,203
1496,843
1497,2296
1498,2955
1499,714
1500,272
1501,749
1502,413
1503,1483
1504,2651
1505,2947
1506,2134
1507,1784
1508,2738
1509,3543
1510,2234
1511,612
1512,2402
1513,1136
1514,700
1515,2418
1516,2573
1517,1556
1518,171
1519,989
1520,64
1521,1252
1522,1771
1523,2423
1524,3166
1525,165
1526,790
1527,832
1528,987
1529,1006
1530,1014
1531,1194
1532,1587
1533,3156
1534,3156
1535,3156
1536,3159
1537,3159
1538,957
1539,3525
1540,189
1541,3386
1542,711
1543,3043
1544,3327
1545,1811
1546,3672
1547,483
1548,2322
1549,39
1550,2006
1551,2308
1552,2760
1553,1670
1554,870
1555,2700
1556,2917
1557,2051
1558,2708
1559,2881
1560,546
1561,3342
1562,2562
1563,2545
1564,2573
1565,1293
1566,3329
1567,378
1568,2141
1569,2064
1570,2149
1571,2340
1572,192
1573,3646
1574,2375
1575,3560
1576,230
1577,2288
1578,731
1579,1058
1580,1229
1581,2866
1582,1203
1583,3137
1584,888
1585,2912
1586,3709
1587,1174
1588,3063
1589,1781
1590,753
1591,1987
1592,1958
1593,2219
1594,510
1595,2644
1596,1247
1597,1277
1598,3368
1599,2575
1600,1160
1601,1160
1602,3168
1603,800
1604,2592
1605,1607
1606,3175
1607,3096
1608,655
1609,2135
1610,3043
1611,1351
1612,3156
1613,3358
1614,205
1615,1166
1616,206
1617,2291
1618,2291
1619,3156
1620,3159
1621,3523
1622,661
1623,727
1624,1035
1625,1993
1626,2536
