LY,ND,TM,DYZZ,TXZZ,QBZZ,CBS,NFJM,FBSJ
省科学技术奖,2021,Novel bimorphological anisotropic bulk nanocomposite materials with high energy products,李晓红,张湘义,李晓红；娄理；宋文鹏；黄光伟；侯福臣；张前；张海天；肖建伟；温斌；张湘义,Adv. Mater.,2017年29卷1606430页,2017/2/20
省科学技术奖,2021,Controllably manipulating three-dimensional hybrid nanostructures for bulk nanocomposites with large energy products,李晓红,张湘义,李晓红；娄理；宋文鹏；张前；黄光伟；化迎新；张海天；肖建伟；温斌；张湘义,Nano Letters,2017年17卷2985-2993页,2017/4/12
省科学技术奖,2021,Three-dimensional self-assembly of core/shell-like nanostructures for high-performance nanocomposite permanent magnets,李海玲,张湘义；李晓红,李海玲；李晓红；郭得峰；娄理；李伟；张湘义,Nano Letters,2016年16卷5631-5638页,2016/8/29
省科学技术奖,2021,Development of crystal texture in Nd-lean amorphous Nd9Fe85B6 under hot deformation,刘延国,张湘义,刘延国；许磊；王青峰；李伟；张湘义,Appl. Phys. Lett.,2009年94卷172502页,2009/4/27
省科学技术奖,2021,Controllable nanocrystallization in amorphous Nd9Fe85B6 via combined application of severe plastic deformation and thermal annealing,李伟,张湘义,李伟；李兰兰；南云；李晓红；张湘义,Appl. Phys. Lett.,2007年91卷062509页,2007/8/7
省科学技术奖,2021,Ultrahigh volumetric capacitance and cyclic stability of fluorine and nitrogen co-doped carbon microspheres,周军双,高发明,周军双；练睫；侯莉；张俊川；缑慧阳；夏美荣；赵玉峰；陶璐；高发明,Nature Communications,2015年6期8503页,2015/9/29
省科学技术奖,2021,N-P-O co-doped high performance 3D graphene prepared through red phosphorous-assisted “cutting-thin” technique: A universal synthesis and multifunctional applications,赵玉峰,赵玉峰；侯仰龙,赵玉峰；黄士飞；夏美荣；木士春；寇宗魁；张智；陈朝阳；高发明；侯仰龙,Nano Energy,2016年28卷346-355页,2016/9/11
省科学技术奖,2021,High-Performance Asymmetric Supercapacitors Based on Multilayer MnO2/Graphene Oxide Nanoflakes and Hierarchical Porous Carbon with Enhanced Cycling Stability.,赵玉峰,赵玉峰；黄一中,赵玉峰；冉伟；何静；黄一中；刘志锋；柳伟；唐永福；张隆；高大威；高发明,Small,2015年11卷1310-1319页,2014/11/10
省科学技术奖,2021,Nickel Cobalt Hydroxide @Reduced Graphene Oxide Hybrid Nanolayers for High Performance Asymmetric Supercapacitors with Remarkable Cycling Stability.,马红楠,赵玉峰,马红楠；何静；熊定邦；吴劲松；李倩倩；赵玉峰,ACS Applied Materials Interfaces,2016年8卷3期1992-2000页,2016/1/8
省科学技术奖,2021,Oxygen-Rich Hierarchical Porous Carbon Derived from Artemia Cyst Shells with Superior Electrochemical Performance.,赵玉峰,赵玉峰；吴劲松,赵玉峰；冉伟；何静；宋艳芳；张春明；熊定邦；高发明；吴劲松；夏永姚,ACS Applied Materials Interfaces,2015年7卷2期1132-1139页,2014/12/22
