SXZY,Count1
 半导体化学,1
 飞行器设计,2
 分析化学,3
 航空电子,4
 机械设计及理论,5
 通信与信息系统,6
 压力加工,7
 冶金机械,8
 中西医结合,9
1、农机化2、机械电子工程,10
43050--有机高分子材料,11
CAD/CAE/CAM/PDM及集成技术、有限元分析,12
CAD/CAM一体化,13
CAD与设计专家系统,14
CAD与设计专家系统,14
CT室,15
CT室,15
EMBA,16
GIS,17
ICU,18
jisuanjiruanjian,19
l临床医学,20
l外科学,21
MBA,22
ＭＢＡ,23
MBA企业管理,24
NULL,25
Rn中的调和分析的实方法,26
SAC/TC240副主任委员,27
Veterinary,28
安全,29
安全、瓦斯,30
安全\瓦斯,31
安全工程,32
安全工程,32
安全工程,32
安全工程,32
安全工程\防灾减灾,33
安全工程\矿山开采,34
安全工程技术科学,35
安全工程技术科学,35
安全工程技术科学,35
安全工程技术科学,35
安全工程技术科学,35
安全工程技术科学,35
安全工程技术科学,35
安全管理,36
安全管理工程,37
安全技术工程,38
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术及工程,39
安全技术与工程,40
安全科学技术  预防医学与卫生学,41
办公自动化与管理信息系统技术,42
办公自动化与管理信息系统技术,42
办公自动化与管理信息系统技术,42
半导体,43
半导体,43
半导体材料,44
半导体材料,44
半导体材料,44
半导体材料,44
半导体材料物理,45
半导体材料与器件,46
半导体材料与器件,46
半导体低维结构材料、物理与器件,47
半导体光电子学,48
半导体和固体电子学,49
半导体化学,50
半导体化学,50
半导体激光器,51
半导体技术,52
半导体敏感器件和半导体传感器,53
半导体纳米团簇物性研究,54
半导体器件,55
半导体器件,55
半导体器件物理,56
半导体器件物理,56
半导体器件与技术,57
半导体器件与微电子学,58
半导体器件与物理,59
半导体器件与物理,59
半导体物理,60
半导体物理,60
半导体物理,60
半导体物理,60
半导体物理,60
半导体物理学,61
半导体物理与半导体器件物理,62
半导体物理与半导体器件物理,62
半导体物理与器件,63
半导体物理与器件,63
半导体物理与器件,63
半导体物理与器件物理,64
包装工程,65
包装工程,65
薄膜半导体材料,66
薄膜光学,67
薄膜物理学,68
保健医学,69
保育生态学及恢复生态学,70
保育生态学及恢复生态学,70
爆破器材与技术,71
爆炸力学,72
爆炸物理,73
北京大学经济、哲学,74
本科：铸造。       研究生：教育学原理,75
本科-畜牧专业，研究生-动物遗传育种与繁殖专业,76
本科电气工程及其自动化  硕士为电子信息,77
本科是临床医学硕士是流行病与卫生统计学,78
比较文学,79
比较语言学,80
标准化,81
表面电化学,82
表面和界面薄膜和晶须人工微结构（结构和非电子性质）,83
兵种战术学,84
并行计算,85
病虫测报学,86
病虫测报学,86
病毒性肝炎的发病机理研究,87
病毒与分子生物学,88
病理,89
病理,89
病理,89
病理及病理生理学,90
病理技术,91
病理技术,91
病理检验,92
病理科,93
病理生理,94
病理生理,94
病理生理  分子生物学,95
病理生理，神经外科,96
病理生理、药理学,97
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学,98
病理生理学、糖尿病,99
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学,100
病理学，肿瘤学,101
病理学、乳腺肿瘤,102
病理学；/免疫病理分子生物实验技术,103
病理学及病理生理学,104
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理学与病理生理学,105
病理与病理生理学,106
病理与病理生理学,106
病理与病理生理学,106
病理与病理生理学,106
病理与病理生理学,106
病理与病理生理学,106
病理诊断,107
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学,108
病原生物学及外科学,109
病原细菌(含支原体与螺旋体),110
玻璃材料,111
玻璃工艺,112
玻璃工艺,112
玻璃与无机非金属材料,113
不对称合成,114
不确定性的数学理论,115
部门法学,116
部门法学,116
部门经济管理,117
部门经济管理,117
材料,118
材料,118
材料,118
材料,118
材料,118
材料,118
材料,118
材料成形,119
材料成形,119
材料成形工艺与设备,120
材料成形与控制,121
材料成型,122
材料成型,122
材料成型及控制,123
材料成型及控制工程,124
材料的腐蚀与防护,125
材料电化学与传感技术,126
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料工程,127
材料合成与加工工艺,128
材料合成与加工工艺,128
材料合成与加工工艺,128
材料合成与加工工艺,128
材料化学,129
材料化学,129
材料化学,129
材料化学,129
材料化学,129
材料化学,129
材料化学,129
材料化学工程,130
材料机械加工,131
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工,132
材料加工、材料学,133
材料加工、冶金,134
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程,135
材料加工工程，机械设计及理论，化工设备及机械,136
材料加工过程,137
材料加工技术  铸造,138
材料加工与成型,139
材料检测与分析技术,140
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学,141
材料科学 ,142
材料科学 纳米金属材料,143
材料科学基础学科,144
材料科学基础学科,144
材料科学基础学科其他学科,145
材料科学其他学科,146
材料科学其他学科,146
材料科学其他学科,146
材料科学其他学科,146
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
材料科学与工程,147
