SXZY,Count2
1,1
1,1
1953,2
1967,3
1977,4
1981,5
1981,5
1981,5
1982,6
1982,6
1982.01,7
1982.1,8
1982.1,8
1982.1,8
1982.12,9
1982.7,10
1983,11
1983,11
1983,11
1983.07,12
1983.7,13
1984,14
1984,14
1984.6,15
1984.7,16
1984.7,16
1985,17
1985.7,18
1985.7,18
1986,19
1986,19
1986.7,20
1986.7,20
1986.7,20
1987,21
1987.07,22
1987.7,23
1988,24
1988,24
1989.1,25
1990,26
1990,26
1990.7,27
1991,28
1991,28
1992,29
1992.12,30
1992.6,31
1993,32
1993,32
1993,32
1993.07,33
1993.7,34
1994,35
1994,35
1995,36
1995,36
1995,36
1995,36
1995.06,37
1996,38
1996,38
1996,38
1997,39
1997.07,40
1997.6,41
1997.7,42
1998,43
1998,43
1998.12,44
1998.3,45
1998.7,46
1999,47
1999,47
1999.12,48
1999.5,49
2000,50
2000,50
2000,50
2000,50
2001,51
2001,51
2001,51
2001,51
2001,51
2001,51
2001,51
2001.4,52
2001.4,52
2001.7,53
2002,54
2002,54
2002.1,55
2002.12,56
2003,57
2003,57
2003,57
2003,57
2003,57
2003.6,58
2004,59
2004,59
2004,59
2004,59
2004,59
2004,59
2004,59
2004,59
2004.12,60
2004.4,61
2005,62
2005,62
2005,62
2005,62
2005.11,63
2005.6,64
2005.6,64
2006,65
2006,65
2006,65
2006.6,66
2007,67
2007,67
2007,67
2007.7,68
2008,69
2008,69
2008,69
2008,69
2009,70
2009,70
2009,70
2009.1,71
2009.6,72
2010.06,73
2011.5,74
2013,75
2013,75
Jul-65,76
1978年12月,77
Jul-81,78
Jan-82,79
Feb-82,80
1982年2月,81
1982/2/1,82
Mar-82,83
1982年4月,84
Jun-82,85
1982年7月,86
1982年7月,86
1982年7月,86
Jul-82,87
1982/7/1,88
Oct-82,89
Dec-82,90
1984年7月,91
Jul-84,92
Dec-86,93
1987年7月,94
1987年7月,94
1988年1月,95
Jun-88,96
Jul-88,97
Jun-90,98
1990年6月,99
Jul-90,100
Jul-90,100
Jul-90,100
Jun-92,101
1992年7月,102
1995/7/5,103
Jul-96,104
1996年7月,105
1997年6月,106
1998年6月,107
1999年4月,108
Jul-99,109
1999年10月,110
2000年6月,111
2001/3/30,112
2002/8/30,113
2003年7月,114
2003年7月,114
2003/9/22,115
2004年3月,116
2005年3月,117
2005年7月,118
2005年10月,119
2006/12/1,120
2007年7月,121
2009年6月,122
2010年1月,123
2014年6月,124
2015年6月,125
3-Jan,126
6-Jan,127
8-May,128
4-Jun,129
4-Jun,129
5-Jun,130
6-Jun,131
7-Jun,132
1-Jul,133
7-Jul,134
9-Aug,135
4-Sep,136
3-Dec,137
7-Dec,138
15-Dec,139
199509,140
-,141
--,142
------,143
 河北医科大学,144
 华南理工大学,145
 吉林医学院,146
 济南,147
(日本)东北大学,148
（日本）东京海洋大学,149
（原）北京医学院,150
（原）西安医科大学,151
（原）中央工艺美术学院,152
*,153
＊,154
1063，上海,155
1887-7,156
1961.07原苏联哈尔科夫工学院,157
1965年研究生毕业于吉林大学，当时国家无学位制度,158
1970年本科,159
1975年黑龙江中医药大学,160
