XMMC,FZR,DWMC,XMJJ,XMJB,ND
汽车子午轮胎钢帘线用节能环保拉丝液制备关键技术, ,河北纳泰化工有限公司,近年来随着汽车工业的发展，轮胎行业也迅猛发展。其中，85%以上的轮胎采用子午线轮胎，这种以钢丝等材料作为骨架的轮胎具有很多优点，成为车用轮胎发展的新方向。由于子午线轮胎用钢帘线钢丝可提高子午线轮胎的耐磨性和稳定性，降低生产成本和汽车耗油量，目前全世界每年消耗量已超过100万吨。子午线轮胎用钢帘线钢丝采用拉拔工艺生产，在拉拔过程中先使用固体润滑剂进行粗拉、中拉，然后再使用专用水基润滑剂进行精拉，可起润滑、冷却和清洗的作用。其中，精拉中使用的水基润滑剂的市场一直被国外产品占领，国内未有此类性能优越的产品面世。通过学习整理相关文献资料，分析国、内外类似产品组成和性能，研究产品制备工艺等，最终掌握子午线轮胎钢帘线用水基润滑剂的相关技术，制备出性能优良的水基润滑剂产品。,省级,2017
无线光波驱动机器人关节技术,安艳辉,河北省工业和信息化厅培训教育中心,“无线光波驱动工业机器人”中的红外μs波闪信号的传输是通过编程技术配合芯片技术，将电子信号或光信号转化为以微秒为单位发射一个命令信号从而实现发射、接收、执行的信号传输技术。这一技术的实现将有效避免运动面积的缩小、布线安装不便及关节行走过程中造成线缆疲劳、线缆老化、短路、断路等问题有效节约大量的优质线材资源和人力资源。,省级,2017
奶牛新型中草药饲料添加剂的研究与应用,安永福,河北省畜牧兽医研究所,本项目为了加快推进河北省奶牛养殖业的绿色发展，响应养殖端“减抗、限抗”政策要求，利用我国传统中兽医理论及中草药资源丰富的优势，在“减抗/替抗”相关技术上进行探索和储备。结合奶牛热应激、产后胎衣不下及酮病发病机理症状，在奶牛热应激防控方面修改完善本团队已研制的中草药饲料添加剂配方和加工工艺，并完成中试生产工艺及推广应用试验；在产后保健方面开发绿色新型中草药饲料添加剂，首先进行防控产后胎衣不下、酮病等的中药发酵饲料添加剂组方筛选和确定；其次是中药发酵饲料添加剂的工艺研究；然后进行饲喂试验研究，测定其对产后奶牛产奶量和乳指标及血酮含量、机体免疫力、抗氧化指标及胎衣不下、酮病发生率等指标的影响，最终开发出2种中草药饲料添加剂”，集成1套奶牛无抗饲养技术或标准化操作规程，建立示范基地2个，示范带动奶牛场20个，其应用预期可使千头规模奶牛场日均提高经济效益3000元以上。,省级,2019
石墨烯微波环保提纯技术研究应用,安云,高碑店市隆泰丰博石墨烯加工有限公司,"        本项目将石墨或石墨层间化合物输送至相对转动的两条循环转动带之间，两条循环转动带对石墨烯或石墨层间化合物具有持续的压力，石墨或石墨层间化合物随循环转动带运动并进行持压状态下的微波加热，当所属石墨或石墨层间化合物到达循环转动带的尾端出口时膨化形成石墨烯。项目技术运用石墨本身可制成不同阶数的层间化合物后可加热膨化的条件开创以持压下连续生产的模式，采用了持压方式，在端口处突然的压降其释放出的压力将该变成有x、y、z三向力合成的矢量可获得向上顶力以及剪切力，实现各个方向的膨胀即爆裂膨化的效果，可以充分的打开层间片层。




",省级,2017
衡水源动力众创空间建设与运营,白海涛,衡水源动力文化传播有限公司,项目是由衡水创业经验丰富的创业者和企业家组成的自我创新、寻找创新、助力创业的服务平台，平台整合优秀项目、实力投资人、创业导师，帮助社会和学校有创新能力和创新梦想的创业者们成功创业，平台提供免费项目分析、创业引导、法律咨询、办公场地、品牌营销等服务。提高创业者的整体素质，孵化出更多优秀的创业项目，达到社会价值的最大化。经费用于本平台的建设，预计项目完成时帮助20家以上的企业或创业者完成创业梦想。,省级,2016
杂交棉全程机械化技术配套与应用,白宏坤,河北省冀科种业有限公司,"<p style=""font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px; font-size: 16px; line-height: 1.5em; text-align: left;""><span style=""font-family: 宋体; font-size: 18px;""><span style=""font-family: 宋体; font-size: 16px;""></span>&nbsp; 棉花是我国的重要经济作物，是国家及河北省当前重要扶持产业之一，优质棉缺口依然较大，尚需大量进口，且全国棉花种植规模逐年缩减。棉花生产是我市主导农业产业，也是河北南宫省级农业科技园区主导产业，是园区重点工作内容，是农</span><span style=""font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">民的主要经济来源，南宫市被国家列为</span><span style=""font-family: 宋体; font-size: 18px;"">40</span><span style=""font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">万亩的棉花优势主产区，常年棉花播种面积</span><span style=""font-family: 宋体; font-size: 18px;"">40万</span><span style=""font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">亩左右，占全市耕地面积近</span><span style=""font-family: 宋体; font-size: 18px;"">50%。棉花是劳动密集型农作物，成本高，用工多，</span><span style=""font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">机械化程度普遍较低，棉田种植综合效益逐年下降，当前农村现有劳动力老龄化严重。针对以上问题，实施“杂交棉全程机械化技术配套与应用”项目很有必要。</span><span style=""font-family: 宋体; letter-spacing: -1px;"">&nbsp;</span></p><p style=""font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px; font-size: 16px; line-height: 1.5em;""><span style=""font-family: 宋体; text-align: justify; letter-spacing: 0px; font-size: 18px;"">&nbsp; 本项目通过以冀科蕊</span><span style=""font-family: 宋体; text-align: justify; font-size: 18px;"">9</span><span style=""font-family: 宋体; text-align: justify; letter-spacing: -1px; font-size: 18px;"">号为代表的杂交棉花新品种及配套栽培技术的实施，以提高棉花单产总产、提高棉花品质、增加棉田效益；通过提高棉田</span><span style=""font-family: 宋体; text-align: justify; letter-spacing: -1px; font-size: 18px;"">机械化生产技术水平，以降低棉田劳动强度及劳动力投入。</span><span style=""font-family: 宋体; text-align: justify;"">&nbsp;</span></p><p style=""font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px; font-size: 16px; line-height: 1.5em;""><span style=""text-align: justify; font-family: 宋体; letter-spacing: 0px; font-size: 18px;"">&nbsp; 通过河北省农林科学院棉花研究所及项目承担单位科技人员深度合作，组建一</span><span style=""text-align: justify; font-family: 宋体; letter-spacing: 0px; font-size: 18px;"">个棉花产业科技创新团队，形成一个高标准棉花产业科技示范基地，组装集成</span><span style=""text-align: justify; font-family: 宋体; font-size: 18px;"">1</span><span style=""text-align: justify; font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">套</span><span style=""text-align: justify; font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">杂交棉全程机械化技术</span><span style=""text-align: justify; font-family: 宋体; letter-spacing: -1px; font-size: 18px;"">体系。为棉花产业持续良好发展创造有利条件，同时带动园区创新发展，提升园区创新能力和核心竞争力。</span><span style=""text-align: justify; font-family: 宋体;"">&nbsp;</span></p><p style=""font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px; font-size: 16px; line-height: 1.5em;""><span style=""font-family: 宋体; text-indent: 37px; line-height: 150%; font-size: 18px;""></span><br></p>",省级,2021
铁矿尾矿制备高强材料及提高掺量关键技术研究,白丽梅,华北理工大学,尾矿的治理与综合利用一直都是矿业领域所特别关注的问题之一。而随着钢铁工业的迅速发展，选矿比进一步降低，尾矿的量和细度大幅增加，这也增加了其整理利用的难度。本项目根据铁尾矿矿石特性进行有价元素提取和尾矿再利用。利用在现代选矿技术下尾矿的平均细度不断增加，其本身就含少量亚微米和纳米颗粒，并通过分级将较粗部分作为细骨料，充分发挥并强化铁矿尾矿中超细颗粒部分的亚微米、纳米颗粒的超细特征，增大尾矿掺量和材料的强度，解决尾矿利用的关键技术。使得此类铁矿得以高附加值利用，打破运输成本壁垒的限制，实现铁矿二次资源的大宗利用。此项目的实施对保护和改善矿山生态恢复，保证矿山可持续发展，都具有深远的意义。并且也为磁铁石英岩型尾矿在高强结构材料及其他方面的高值利用奠定理论基础。,省级,2016
混合现实（MR）应用关键技术与开发平台研究,白丽艳,河北燕大燕软信息系统有限公司,"本项目是MR(混合现实业务)未来发展的主流趋势，将是全球首个通用MR应用开发与运行平台,将实现“集成的编程架构”、“MR环境感知光源三维模型全息映射算法”、“MR多平台交互智能渐进式全息数据传输技术”、“MR点云模型动态分离剔除技术”、“全息场景瞬间传送技术”五项先进的关键技术研究，解决了MR领域技术难点。
MR关键技术与开发平台提出了一种全新的商业模式，该平台为MR应用开发企业提供孵化服务和MR应用运维服务，并为MR应用提供统一的窗口和面向公众的展示平台，它将云计算的理念和技术与MR应用进行了完美的整合，可以降低企业在软硬件方面的进入门槛、缩短开发周期，该平台成为我省重要的数字资产，并且逐步形成一个生态。
未来，MR关键技术与开发平台建设完成后，一是建立MR培训学院，培养人才，推动整个MR产业链，形成各类创新应用；二是建立专业孵化器通过项目孵化，开启多个MR的孵化器项目，同时为创作者提供一个共同工作空间，培养众多的创业公司，形成河北省的MR产业。另外，MR应用开发平台还将帮助MR企业获得新的想法，新内容，培育出一个各类MR内容的生产基地。",省级,2018
高性能金属基复合材料轧辊及制备技术,白思诺,中钢集团邢台机械轧辊有限公司,    随着钢铁领域发展，尤其是高强、超薄等钢种的崛起，提高轧制行业主要消耗部件轧辊的耐磨性以及抗热疲劳性能，提升我国钢厂整体轧辊质量，降低轧辊消耗量势在必行。中钢集团邢台机械轧辊有限公司（简称中钢邢机）围绕颗粒增强在轧辊材料中的应用，开展金属基颗粒增强体组分研究、颗粒增强粉末制备研究、颗粒增强金属基熔嵌技术研究，形成纳米级颗粒增强复合材料的轧辊产业化可行性方案等。,省级,2017
三分量感应线圈接收传感器及采集系统的研制,白旭,北华航天工业学院,       本次项目以三分量感应线圈接收传感器为研究目标，设计一款具有低噪声水平、高灵敏度及高有效工作带宽的三分量感应线圈接收传感器。具体指标为：空心线圈，灵敏度为0.05nT，有效工作带宽为25kHz。同时完成和传感器相匹配的微弱信号测量算法的研究。,省级,2018
